토큰화,갯수
피드백,65
기간,65
키우다,65
반복,65
책임감,65
기대,65
다수,64
기분,64
지향,64
평문,64
예전,64
바로,64
시장,64
일도,63
부족함,63
승률,63
끊임없다,63
변경,63
프로,63
잇다,63
기다,63
보기,63
맡다,62
매년,62
한계,62
기반,62
미팅,62
잠실,62
우수하다,62
적절하다,61
내려오다,61
통해,61
장비,61
불필요하다,61
인성,61
무한,61
안함,61
보이,60
요구,60
불편하다,60
차별,60
부모님,60
스마트,60
무시,60
재밌다,60
제외,59
의사소통,59
대응,59
취급,59
부가,59
관성,58
유연,58
이전,58
정보,58
도입,58
누가,58
지속,58
빡세,58
보지,58
추구,58
동기부여,58
들어가다,58
우선,58
편차,57
얘기,57
굳이,57
사원,57
부품,57
주의,57
작다,57
장기,57
모름,57
열리다,56
스톡옵션,56
특별하다,56
하루,56
이기,56
적용,56
늦다,56
분야,56
일반,56
플랫폼,56
연락,56
대신,55
따다,55
캐시,55
올리다,55
사이,55
이루어지다,55
아침,55
점심,55
합병,55
이면,55
활용,54
짧다,54
중소기업,54
리더십,54
일과,54
과제,54
갈수록,54
의미,53
이벤트,53
혁신,53
결과,53
보여주다,53
기도,53
제로,53
쾌적하다,52
변하다,52
능력자,52
이야기,52
허다,52
치열하다,52
특정,52
겪다,52
회식,52
유능하다,52
상장,52
듣다,51
나누다,51
보너스,51
초과근무,51
고생,51
현장,51
복리,51
잘못,51
급하다,51
그것,51
크루,50
진과,50
상관없다,50
워낙,50
윗사람,50
바라다,50
설명,50
성격,50
싸다,50
후생,50
무료,50
나이,49
주식,49
명절,49
편임,49
솔직하다,49
도생,49
성과급,49
반영,49
경향,48
시국,48
조직개편,48
이외,48
이자,48
무난,48
빠지다,48
판교,48
핵심,48
물량,48
이르다,48
그게,47
지원이,47
지옥,47
기기,47
개개인,47
호칭,47
물어보다,47
그닥,47
두다,47
정치가,47
거나,47
살다,47
작업,47
도태,47
자잘하다,47
가깝다,47
무제한,46
즐겁다,46
목소리,46
철저하다,46
협상,46
페이,46
떠나다,46
문서,46
배민,46
군대,46
몰리다,46
약하다,46
노조,46
조절,46
박탈,46
준비,46
추진,45
소리,45
직접,45
공무원,45
지나치다,45
지시,45
각종,45
비율,45
건지다,45
아끼다,45
전부,45
주위,45
코드,45
출신,45
매출,45
부르다,44
조정,44
노동,44
신뢰,44
가면,44
면접,44
만족도,44
최저,44
죽다,44
도와주다,44
레거시,44
사내정치,44
몰다,43
디자인,43
쎄다,43
소모품,43
대체,43
확장,43
그거,43
연장,43
의하다,43
경쟁력,43
구매,43
커서,42
현실,42
리뷰,42
망하다,42
경직,42
바꾸다,42
비용,42
어린이집,42
적자,42
잡다,42
쌓이다,42
대규모,42
인센티브,42
인간,42
진급,41
덕분,41
커피,41
마찬가지,41
거리,41
제시,41
매번,41
책임지다,41
자극,41
절차,41
보이지,41
역할,41
메신저,41
태도,41
편입,41
몇몇,41
갑자기,41
투명하다,40
특성,40
대화,40
베이스,40
외적,40
수가,40
상식,40
믿다,40
진리,40
실비,40
입장,40
올려주다,40
사용자,40
비즈니스,40
지나다,40
부여,40
깨끗하다,40
간다,40
프로그램,40
넘치다,40
도시락,40
오히려,40
펴다,39
차원,39
갈리다,39
글쎄,39
초기,39
어디가,39
무슨,39
스톡,39
임원진,39
쓸데없다,38
혼란,38
전이,38
미국,38
의욕,38
한편,38
나머지,38
상호,38
벌다,38
파악,38
과도,38
타임,38
비싸다,38
필수,38
체적,38
제한,38
역시,38
전문성,38
내용,37
하라,37
불가,37
상태,37
당하다,37
뭐라다,37
간혹,37
인지,37
정착,37
따라오다,37
그대로,37
탄력,37
케어,37
영향,37
피곤하다,37
뜨다,37
상률,37
매니,36
포함,36
써주다,36
측면,36
패밀리,36
넓다,36
세분,36
터지다,36
다루다,36
이용,36
개다,36
슬랙,36
줍다,36
깔끔하다,36
자꾸,36
행사,36
비추다,36
가이드,36
달다,35
형태,35
주지,35
초봉,35
정체,35
놓다,35
인식,35
건강,35
참여,35
범위,35
가르치다,35
친구,35
재미있다,35
실행,34
정해진,34
찍다,34
중이,34
커버,34
스타일,34
담당,34
천차만별,34
저렴하다,34
여전하다,34
모호하다,34
아이티,34
나이스,34
가나,34
싫다,34
활성화,34
테스트,34
케이스,34
시기,34
막히다,34
기여,34
초반,33
유일하다,33
오지,33
지치다,33
시선,33
고려,33
가져가다,33
해내다,33
적지,33
엉망,33
다시,33
기타,33
굴러가다,33
사회,33
달라,33
타이틀,33
티어,33
추다,33
싸움,33
꾸준하다,33
교통,33
보람,33
과거,32
메리트,32
노트북,32
순간,32
뒤지다,32
캠프,32
오래되다,32
찾아보다,32
판단,32
수록,32
투자,32
모이다,32
가치,32
줄어들다,32
재미,32
병가,32
대단하다,32
딱딱하다,32
자유도,32
그로,31
급성,31
누리다,31
알아주다,31
전략,31
계획,31
한정,31
인수,31
활발하다,31
영업,31
이익,31
편안하다,31
생산,31
놀다,31
굳다,31
사심,31
사항,31
오후,31
카라,31
생기,31
나서다,31
간섭,31
자기계발,31
성취,31
통한,30
퀄리티,30
해당,30
밀리다,30
의자,30
깊다,30
멤버,30
식사,30
대한민국,30
중시,30
선배,30
무너지다,30
용량,30
길다,30
시행,30
누군가,30
거기,30
심각하다,30
아이디어,30
영역,30
테크,30
간의,30
출퇴근시간,30
리스크,30
마이크로,30
면서,30
최대한,30
구축,30
조식,29
수행,29
더욱,29
잠실역,29
내리다,29
형성,29
붕괴,29
준수,29
안다,29
동안,29
인턴,29
밸류,29
밸런스,29
아웃,29
높이다,29
나르다,29
근속,29
안해,29
잃다,29
간식,29
설정,29
이끌다,29
여유,29
방법,29
리그,29
높아지다,29
개념,29
살짝,29
다음,29
가기,29
리소스,29
시킴,28
오픈,28
움직이다,28
싫어하다,28
따라서,28
순위,28
불다,28
인계,28
통역,28
유관,28
사고,28
이번,28
스택,28
디자이너,28
불안하다,28
돌아오다,28
유저,28
마련,28
놀금,28
얼마나,28
겠다,28
귀엽다,28
엔지니어,28
새벽,27
음료,27
무능력하다,27
업체,27
묻다,27
진심,27
우대,27
수많다,27
안주,27
아래,27
과연,27
급격하다,27
카페테리아,27
강제,27
최신,27
편리하다,27
구분,27
빵빵,27
무언가,27
프리,27
분단,27
나아지다,27
한지,27
보통,27
하복,27
직시,26
일상,26
체감,26
메일,26
자발,26
기적,26
끝내다,26
금방,26
물류,26
시대,26
이뤄지다,26
마음대로,26
더하다,26
화장실,26
최상,26
개편,26
빡셈,26
잔치,26
공감,26
실상,26
거치다,26
낙하산,26
카무,26
근로,26
주일,26
채다,25
반대,25
연령,25
옛날,25
대가,25
히스토리,25
음료수,25
정확하다,25
강조,25
려고,25
기계,25
특유,25
정작,25
좁다,25
자랑,25
숫자,25
서울,25
유명하다,25
균형,25
이하,25
빡센,25
정시,25
부적,25
식대,25
대출,25
나아가다,25
달성,25
정해지다,25
만들기,25
들어주다,25
건강하다,24
지내다,24
금전,24
자료,24
내야,24
포장,24
확인,24
공간,24
대다,24
역대,24
인척,24
선진,24
똑같다,24
휴게,24
나가야,24
실질,24
점도,24
심해지다,24
근처,24
그리다,24
장애,24
우수,24
경계,24
겁나다,24
화가,24
견디다,24
불분명,24
리기,24
베다,24
동기,24
분리,24
치가,24
소수,24
상하,24
사기,24
장벽,23
나중,23
달라지다,23
선도,23
밝다,23
긍정,23
대충,23
캐쉬,23
자녀,23
유급,23
천국,23
상향,23
토론,23
요새,23
심지어,23
이커머스,23
인맥,23
밀러,23
부리다,23
불통,23
라이프,23
미흡하다,23
먹기,23
팀내,23
단계,23
대하,23
개월,23
꾸다,23
난이도,23
곳도,23
더디다,23
구성,23
한마디,23
카드,23
화사,22
카톡,22
일수,22
조용하다,22
자기개발,22
주가,22
투입,22
평등하다,22
버스,22
외적인,22
실망,22
행동,22
돌리다,22
타가,22
신청,22
안타깝다,22
밀다,22
뉴스,22
뚜렷하다,22
쉽다,22
꼰대들,22
트렌드,22
브랜드,22
깔다,22
이만,22
국가,22
휴양,22
신기하다,22
차이다,22
시급,22
돌보다,22
비지니스,22
동결,22
단기간,22
쉬움,22
덜하다,22
개진,22
직할,22
지식,22
행복하다,21
는걸,21
사적,21
차갑다,21
최소,21
피플,21
낮아지다,21
잘나오다,21
병원,21
달리,21
결과물,21
불구,21
도메인,21
끝판,21
재직,21
나은,21
상관,21
형식,21
교류,21
의식,21
상상,21
외다,21
생각나다,21
놀라다,21
격차,21
년차,21
언어,21
변동,21
과금,21
주기,21
이해도,21
걸다,21
전문,21
전면,21
사수,21
실수,21
데이,21
그때,21
크기,21
보안,21
수월하다,21
증가,21
체험,21
피로,21
영향력,20
논리,20
중요,20
박하다,20
설계,20
저하,20
납득,20
어필,20
대로,20
야후,20
중견,20
출장,20
장려,20
할인,20
개판,20
적립,20
모트,20
중구,20
사무직,20
후려치다,20
탄탄하다,20
보내다,20
계열,20
위기,20
가도,20
상해,20
체크,20
대다수,20
아예,20
세상,20
동시,20
요청,20
일제,20
따위,20
이사,20
열사,20
흐름,20
해오다,20
매달,20
그다지,20
한강,20
원칙,20
끊다,20
듯함,20
던지다,20
친분,19
넘어가다,19
능동,19
지표,19
스펙,19
옮기다,19
사다,19
분명하다,19
편의,19
조성,19
추세,19
전형,19
익숙하다,19
어차피,19
차이나다,19
단체,19
인간관계,19
물가,19
친해지다,19
줄이다,19
재량,19
수동,19
조건,19
다해,19
짜증나다,19
대감,19
필요없다,19
테이블,19
기능,19
멋지다,19
철학,19
워커홀릭,19
망가지다,19
제안,19
리프,19
산업,19
극악,19
스킬,19
잘해야,19
늘리다,19
노답,19
휴식,19
식비,19
서도,19
이정,19
성공하다,19
뿌듯하다,19
퍼포먼스,19
매너,19
폐지,19
권장,19
아프다,19
중요시,19
점심시간,18
밉다,18
인생,18
내면,18
내기,18
로부터,18
세심,18
결재,18
봉인,18
삭막하다,18
고정,18
보고서,18
당일,18
쿠배,18
택시,18
증명,18
소중하다,18
대처,18
정이,18
평일,18
전무하다,18
알려지다,18
예정,18
먼저,18
무지,18
쥐다,18
의존,18
적합하다,18
자연,18
말로,18
예의,18
역다,18
오프,18
할당,18
발휘,18
부심,18
육아휴직,18
